query,document_id,document_text,model,similarity,confidence_level,timestamp
FCU reset procedure,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MPNET,0.0724,🔴 Weak Match,2025-07-27T21:14:43.681781
FCU reset procedure,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MINILM,0.1518,🔴 Weak Match,2025-07-27T21:14:43.681781
FCU reset procedure,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MPNET,0.1354,🔴 Weak Match,2025-07-27T21:14:43.681781
FCU reset procedure,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MINILM,0.2178,🔴 Weak Match,2025-07-27T21:14:43.681781
FCU reset procedure,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MPNET,0.2108,🔴 Weak Match,2025-07-27T21:14:43.681781
loudspeaker malfunction,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MINILM,0.1431,🔴 Weak Match,2025-07-27T21:14:44.206612
loudspeaker malfunction,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MPNET,0.1766,🔴 Weak Match,2025-07-27T21:14:44.206612
loudspeaker malfunction,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MINILM,0.0183,🔴 Weak Match,2025-07-27T21:14:44.206612
loudspeaker malfunction,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MPNET,0.1197,🔴 Weak Match,2025-07-27T21:14:44.206612
loudspeaker malfunction,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MINILM,0.4149,🟡 Good Match,2025-07-27T21:14:44.206612
loudspeaker malfunction,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MPNET,0.5487,🟡 Good Match,2025-07-27T21:14:44.206612
loudspeaker malfunction,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MINILM,0.6238,🟢 Strong Match,2025-07-27T21:14:44.206612
loudspeaker malfunction,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MPNET,0.6328,🟡 Good Match,2025-07-27T21:14:44.206612
loudspeaker malfunction,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MINILM,0.0268,🔴 Weak Match,2025-07-27T21:14:44.206612
loudspeaker malfunction,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MPNET,0.0997,🔴 Weak Match,2025-07-27T21:14:44.206612
landing gear extension,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MINILM,0.1343,🔴 Weak Match,2025-07-27T21:14:44.822913
landing gear extension,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MPNET,0.0688,🔴 Weak Match,2025-07-27T21:14:44.822913
landing gear extension,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MINILM,0.3401,🔴 Weak Match,2025-07-27T21:14:44.822913
landing gear extension,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MPNET,0.292,🔴 Weak Match,2025-07-27T21:14:44.822913
landing gear extension,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MINILM,0.0506,🔴 Weak Match,2025-07-27T21:14:44.822913
landing gear extension,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MPNET,0.0159,🔴 Weak Match,2025-07-27T21:14:44.822913
landing gear extension,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MINILM,0.1567,🔴 Weak Match,2025-07-27T21:14:44.822913
landing gear extension,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MPNET,0.1137,🔴 Weak Match,2025-07-27T21:14:44.822913
landing gear extension,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MINILM,0.7455,🟢 Strong Match,2025-07-27T21:14:44.822913
landing gear extension,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MPNET,0.645,🟡 Good Match,2025-07-27T21:14:44.822913
engine oil pressure,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MINILM,-0.0251,🔴 Weak Match,2025-07-27T21:14:45.362980
engine oil pressure,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MPNET,0.0191,🔴 Weak Match,2025-07-27T21:14:45.362980
engine oil pressure,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MINILM,0.0211,🔴 Weak Match,2025-07-27T21:14:45.362980
engine oil pressure,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MPNET,0.2245,🔴 Weak Match,2025-07-27T21:14:45.362980
engine oil pressure,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MINILM,0.0025,🔴 Weak Match,2025-07-27T21:14:45.362980
engine oil pressure,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MPNET,0.1405,🔴 Weak Match,2025-07-27T21:14:45.362980
engine oil pressure,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MINILM,-0.0646,🔴 Weak Match,2025-07-27T21:14:45.362980
engine oil pressure,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MPNET,0.0982,🔴 Weak Match,2025-07-27T21:14:45.362980
engine oil pressure,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MINILM,-0.0222,🔴 Weak Match,2025-07-27T21:14:45.362980
engine oil pressure,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MPNET,0.0565,🔴 Weak Match,2025-07-27T21:14:45.362980
