query,document_id,document_text,model,similarity,confidence_level,timestamp
speaker potentiometer fault,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MPNET,0.2326,🔴 Weak Match,2025-07-27T21:22:25.655615
speaker potentiometer fault,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MINILM,0.6486,🟢 Strong Match,2025-07-27T21:22:25.655615
speaker potentiometer fault,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MPNET,0.7088,🟢 Strong Match,2025-07-27T21:22:25.655615
speaker potentiometer fault,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MINILM,0.3593,🔴 Weak Match,2025-07-27T21:22:25.655615
speaker potentiometer fault,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MPNET,0.5284,🟡 Good Match,2025-07-27T21:22:25.655615
speaker potentiometer fault,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MINILM,0.0431,🔴 Weak Match,2025-07-27T21:22:25.655615
speaker potentiometer fault,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MPNET,0.1162,🔴 Weak Match,2025-07-27T21:22:25.655615
FCU reset procedure,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MINILM,0.5648,🟡 Good Match,2025-07-27T21:22:26.050116
FCU reset procedure,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MPNET,0.5694,🟡 Good Match,2025-07-27T21:22:26.050116
FCU reset procedure,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MINILM,0.1436,🔴 Weak Match,2025-07-27T21:22:26.050116
FCU reset procedure,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MPNET,0.1662,🔴 Weak Match,2025-07-27T21:22:26.050116
FCU reset procedure,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MINILM,0.0726,🔴 Weak Match,2025-07-27T21:22:26.050116
FCU reset procedure,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MPNET,0.0822,🔴 Weak Match,2025-07-27T21:22:26.050116
FCU reset procedure,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MINILM,0.229,🔴 Weak Match,2025-07-27T21:22:26.050116
FCU reset procedure,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MPNET,0.1651,🔴 Weak Match,2025-07-27T21:22:26.050116
FCU reset procedure,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MINILM,0.21,🔴 Weak Match,2025-07-27T21:22:26.050116
FCU reset procedure,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MPNET,0.194,🔴 Weak Match,2025-07-27T21:22:26.050116
loudspeaker malfunction,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MINILM,0.1293,🔴 Weak Match,2025-07-27T21:22:26.452261
loudspeaker malfunction,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MPNET,0.2002,🔴 Weak Match,2025-07-27T21:22:26.452261
loudspeaker malfunction,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MINILM,0.0446,🔴 Weak Match,2025-07-27T21:22:26.452261
loudspeaker malfunction,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MPNET,0.2042,🔴 Weak Match,2025-07-27T21:22:26.452261
loudspeaker malfunction,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MINILM,0.6363,🟢 Strong Match,2025-07-27T21:22:26.452261
loudspeaker malfunction,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MPNET,0.7341,🟢 Strong Match,2025-07-27T21:22:26.452261
loudspeaker malfunction,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MINILM,0.4596,🟡 Good Match,2025-07-27T21:22:26.452261
loudspeaker malfunction,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MPNET,0.6899,🟢 Strong Match,2025-07-27T21:22:26.452261
loudspeaker malfunction,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MINILM,0.0018,🔴 Weak Match,2025-07-27T21:22:26.452261
loudspeaker malfunction,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MPNET,0.1441,🔴 Weak Match,2025-07-27T21:22:26.452261
landing gear extension,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MINILM,0.1213,🔴 Weak Match,2025-07-27T21:22:27.196389
landing gear extension,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MPNET,0.0866,🔴 Weak Match,2025-07-27T21:22:27.196389
landing gear extension,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MINILM,0.2446,🔴 Weak Match,2025-07-27T21:22:27.196389
landing gear extension,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MPNET,0.2386,🔴 Weak Match,2025-07-27T21:22:27.196389
landing gear extension,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MINILM,0.0046,🔴 Weak Match,2025-07-27T21:22:27.196389
landing gear extension,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MPNET,-0.0133,🔴 Weak Match,2025-07-27T21:22:27.196389
landing gear extension,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MINILM,0.1538,🔴 Weak Match,2025-07-27T21:22:27.196389
landing gear extension,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MPNET,0.0359,🔴 Weak Match,2025-07-27T21:22:27.196389
landing gear extension,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MINILM,0.6695,🟢 Strong Match,2025-07-27T21:22:27.196389
landing gear extension,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MPNET,0.5392,🟡 Good Match,2025-07-27T21:22:27.196389
engine oil pressure,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MINILM,-0.0029,🔴 Weak Match,2025-07-27T21:22:28.201471
engine oil pressure,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MPNET,0.0672,🔴 Weak Match,2025-07-27T21:22:28.201471
engine oil pressure,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MINILM,-0.0004,🔴 Weak Match,2025-07-27T21:22:28.201471
engine oil pressure,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MPNET,0.2207,🔴 Weak Match,2025-07-27T21:22:28.201471
engine oil pressure,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MINILM,-0.0163,🔴 Weak Match,2025-07-27T21:22:28.201471
engine oil pressure,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MPNET,0.1239,🔴 Weak Match,2025-07-27T21:22:28.201471
engine oil pressure,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MINILM,-0.0419,🔴 Weak Match,2025-07-27T21:22:28.201471
engine oil pressure,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MPNET,0.0601,🔴 Weak Match,2025-07-27T21:22:28.201471
engine oil pressure,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MINILM,0.0064,🔴 Weak Match,2025-07-27T21:22:28.201471
engine oil pressure,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MPNET,0.1065,🔴 Weak Match,2025-07-27T21:22:28.201471
